state,x,y
Dona Remedios Trinidad,118.0,54.0
San Miguel,-9.0,131.0
Norzagaray,96.0,-75.0
San Jose Del Monte,45.0,-111.0
Santa Maria,-13.0,-96.0
San Ildefonso,-3.0,49.0
San Rafael,-31.0,7.0
Angat,-5.0,-36.0
Pandi,-39.0,-62.0
Bustos,-64.0,-37.0
Baliuag,-93.0,-16.0
Pulilan,-131.0,-33.0
Calumpit,-181.0,-51.0
Malolos,-135.0,-94.0
Plaridel,-96.0,-71.0
Bocaue,-61.0,-129.0
Marilao,-45.0,-153.0
Bulakan,-103.0,-149.0
Hagonoy,-198.0,-111.0
Paombong,-163.0,-119.0
Guiguinto,-96.0,-97.0
Balagtas,-74.0,-114.0
Obando,-67.0,-188.0
Meycauayan,-31.0,-170.0
